"rank","code","code_orig","count","source"
"354","bardock","bardock","529","https://stats.lineageos.org/"
"355","gts3lwifi","gts3lwifi","527","https://stats.lineageos.org/"
"356","aokp_serranolte","aokp_serranoltexx","510","https://stats.lineageos.org/"
"357","kinzie","kinzie","510","https://stats.lineageos.org/"
"358","slte","sltexx","499","https://stats.lineageos.org/"
"359","nobleltejv","nobleltejv","499","https://stats.lineageos.org/"
"360","loganrelte","loganreltexx","494","https://stats.lineageos.org/"
"361","cs02","cs02","490","https://stats.lineageos.org/"
"362","H30-U10","H30-U10","489","https://stats.lineageos.org/"
"363","hltechn","hltechn","487","https://stats.lineageos.org/"
"364","RMX1851","RMX1851","484","https://stats.lineageos.org/"
"365","urd","urd","484","https://stats.lineageos.org/"
"366","NX531J","NX531J","481","https://stats.lineageos.org/"
"367","e53g","e53g","481","https://stats.lineageos.org/"
"368","ali","ali","480","https://stats.lineageos.org/"
"369","P1m","P1m","478","https://stats.lineageos.org/"
"370","d850","d850","478","https://stats.lineageos.org/"
"371","memul","memul","475","https://stats.lineageos.org/"
"372","f1f","f1f","471","https://stats.lineageos.org/"
"373","flounder_lte","flounder_lte","470","https://stats.lineageos.org/"
"374","nikel","nikel","464","https://stats.lineageos.org/"
"375","tsubasa","tsubasa","463","https://stats.lineageos.org/"
"376","evert","evert","457","https://stats.lineageos.org/"
"377","gprimelte","gprimelte","455","https://stats.lineageos.org/"
"378","maple","maple","451","https://stats.lineageos.org/"
"379","karnak","karnak","449","https://stats.lineageos.org/"
"380","P024","P024","443","https://stats.lineageos.org/"
"381","nx523j","nx523j","440","https://stats.lineageos.org/"
"382","kirin","kirin","437","https://stats.lineageos.org/"
"383","gts210lte","gts210ltexx","437","https://stats.lineageos.org/"
"384","hwcan","hwcan","432","https://stats.lineageos.org/"
"385","s3_h560","s3_h560","430","https://stats.lineageos.org/"
"386","chuwi_vi10plus","chuwi_vi10plus","427","https://stats.lineageos.org/"
"387","rio","rio","426","https://stats.lineageos.org/"
"388","v410","v410","425","https://stats.lineageos.org/"
"389","h870","h870","421","https://stats.lineageos.org/"
"390","himawl","himawl","418","https://stats.lineageos.org/"
"391","y560","y560","415","https://stats.lineageos.org/"
"392","m8d","m8d","411","https://stats.lineageos.org/"
"393","codina","codina","411","https://stats.lineageos.org/"
"394","gt510wifi","gt510wifi","410","https://stats.lineageos.org/"
"395","ls990","ls990","409","https://stats.lineageos.org/"
"396","panelli","panelli","404","https://stats.lineageos.org/"
"397","nicki","nicki","404","https://stats.lineageos.org/"
"398","h811","h811","398","https://stats.lineageos.org/"
"399","s5neolte","s5neoltexx","396","https://stats.lineageos.org/"
"400","serranovelte","serranovelte","396","https://stats.lineageos.org/"
"401","Z6","Z6","394","https://stats.lineageos.org/"
"402","ph2n","ph2n","390","https://stats.lineageos.org/"
"403","cepheus","cepheus","390","https://stats.lineageos.org/"
"404","odin","odin","390","https://stats.lineageos.org/"
"405","z3","z3","388","https://stats.lineageos.org/"
"406","x5","x5","387","https://stats.lineageos.org/"
"407","judyln","judyln","379","https://stats.lineageos.org/"
"408","vs985","vs985","379","https://stats.lineageos.org/"
"409","aim_Z010D","aim_Z010D","378","https://stats.lineageos.org/"
"410","meliuslte","meliusltexx","378","https://stats.lineageos.org/"
"411","duma","duma","377","https://stats.lineageos.org/"
"412","tiffany","tiffany","371","https://stats.lineageos.org/"
"413","d851","d851","370","https://stats.lineageos.org/"
"414","A7010a48","A7010a48","368","https://stats.lineageos.org/"
